date,match,net_pnl,turnover
2026-06-11,Mexico v South Africa,,
2026-06-12,South Korea v Czechia,,
2026-06-12,Canada v Bosnia & Herzegovina,,
2026-06-13,USA v Paraguay,,
2026-06-13,Qatar v Switzerland,,
2026-06-13,Brazil v Morocco,,
2026-06-14,Haiti v Scotland,,
2026-06-14,Australia v Turkey,,
2026-06-14,Germany v Curaçao,,
2026-06-14,Netherlands v Japan,,
2026-06-15,Ivory Coast v Ecuador,,
2026-06-15,Sweden v Tunisia,,
2026-06-15,Spain v Cape Verde,,
2026-06-15,Belgium v Egypt,,
2026-06-15,Saudi Arabia v Uruguay,,
2026-06-16,Iran v New Zealand,,
2026-06-16,France v Senegal,,
2026-06-16,Iraq v Norway,,
2026-06-17,Argentina v Algeria,,
2026-06-17,Austria v Jordan,,
2026-06-17,Portugal v DR Congo,,
2026-06-17,England v Croatia,,
2026-06-18,Ghana v Panama,,
2026-06-18,Uzbekistan v Colombia,,
2026-06-18,Czechia v South Africa,,
2026-06-18,Switzerland v Bosnia & Herzegovina,,
2026-06-18,Canada v Qatar,,
2026-06-19,Mexico v South Korea,,
2026-06-19,USA v Australia,,
2026-06-19,Scotland v Morocco,,
2026-06-20,Turkey v Paraguay,,
2026-06-20,Brazil v Haiti,,
2026-06-20,Netherlands v Sweden,,
2026-06-20,Germany v Ivory Coast,,
2026-06-21,Ecuador v Curaçao,,
2026-06-21,Tunisia v Japan,,
2026-06-21,Spain v Saudi Arabia,,
2026-06-21,Belgium v Iran,,
2026-06-21,Uruguay v Cape Verde,,
2026-06-22,New Zealand v Egypt,,
2026-06-22,Argentina v Austria,,
2026-06-22,France v Iraq,,
2026-06-23,Norway v Senegal,,
2026-06-23,Jordan v Algeria,,
2026-06-23,Portugal v Uzbekistan,,
2026-06-23,England v Ghana,,
2026-06-24,Panama v Croatia,,
2026-06-24,Colombia v DR Congo,,
2026-06-24,Switzerland v Canada,,
2026-06-24,Bosnia & Herzegovina v Qatar,,
2026-06-24,Scotland v Brazil,,
2026-06-24,Morocco v Haiti,,
2026-06-25,Czechia v Mexico,,
2026-06-25,South Africa v South Korea,,
2026-06-25,Curaçao v Ivory Coast,,
2026-06-25,Ecuador v Germany,,
2026-06-26,Japan v Sweden,,
2026-06-26,Tunisia v Netherlands,,
2026-06-26,Turkey v USA,,
2026-06-26,Paraguay v Australia,,
2026-06-26,Norway v France,,
2026-06-26,Senegal v Iraq,,
2026-06-27,Uruguay v Spain,,
2026-06-27,Cape Verde v Saudi Arabia,,
2026-06-27,Egypt v Iran,,
2026-06-27,New Zealand v Belgium,,
2026-06-27,Panama v England,,
2026-06-27,Croatia v Ghana,,
2026-06-28,Colombia v Portugal,,
2026-06-28,DR Congo v Uzbekistan,,
2026-06-28,Algeria v Austria,,
2026-06-28,Jordan v Argentina,,
