name,dob
Julián Quiñones,1997-03-24
Raúl Jiménez,1991-05-05
Hwang In-Beom,1996-09-20
Oh Hyeon-Gyu,2001-04-12
Ladislav Krejcí,1999-04-20
Cyle Larin,1995-04-17
Jovo Lukić,1998-11-28
Boualem Khoukhi,1990-08-09
Breel Embolo,1997-02-14
Vinícius Júnior,2000-07-12
Ismael Saibari,2001-01-28
John McGinn,1994-10-18
Folarin Balogun,2001-07-03
Giovanni Reyna,2002-11-13
Mauricio,2001-06-22
Nestory Irankunda,2006-02-11
Connor Metcalfe,1999-11-05
Felix Nmecha,2000-10-10
Nico Schlotterbeck,1999-12-01
Kai Havertz,1999-06-11
Jamal Musiala,2003-02-26
Nathaniel Brown,2003-06-16
Deniz Undav,1996-07-19
Livano Comenencia,2004-02-03
Virgil van Dijk,1991-07-08
Crysencio Summerville,2001-10-30
Keito Nakamura,2000-07-28
Daichi Kamada,1996-08-05
Amad Diallo,2002-07-11
Yasin Ayari,2003-10-06
Alexander Isak,1999-09-21
Viktor Gyökeres,1998-06-04
Omar Rekik,2001-12-20
Mattias Svanberg,1999-01-05
Emam Ashour,1998-02-20
Abdulelah Al-Amri,1997-01-15
Maxi Araújo,2000-02-15
Ramin Rezaeian,1990-03-21
Mohammad Mohebi,1998-12-20
Elijah Just,2000-05-01
Mohammad Mohebbi,1998-12-20
Kylian Mbappé,1998-12-20
Bradley Barcola,2002-09-02
Ibrahim Mbaye,2008-01-24
Erling Haaland,2000-07-21
Leo Østigard,1999-11-28
Leo Østigård,1999-11-28
Aymen Hussein,1996-05-22
Lionel Messi,1987-06-24
Romano Schmid,2000-01-27
Ali Olwan,2000-03-26
Marko Arnautović,1989-04-19
Marko Arnautovic,1989-04-19
João Neves,2004-09-27
Yoane Wissa,1996-09-03
